id;the_geom;junction;type;lanes;maxspeed;oneway;foot;bicycle;access;bus;parking_la;sidewalk;cycleway
roads.47;MULTILINESTRING ((1.4995993 43.51659499999998, 1.4995275 43.51671189999999));;residential;1;50.0;yes;;;;;;;
roads.48;MULTILINESTRING ((1.4954831000000002 43.514689699999984, 1.4954548999999997 43.51464829999999, 1.4954081 43.51457219999999, 1.4952604 43.51437700000001, 1.4951969 43.51424539999999, 1.4951958 43.51421549999999));;residential;1;50.0;yes;;;;;;;
roads.49;MULTILINESTRING ((1.4951958 43.51421549999999, 1.4951863999999995 43.51397209999999, 1.4951364000000005 43.513735999999994));;residential;1;50.0;yes;;;;;;;
roads.50;MULTILINESTRING ((1.4951364000000005 43.513735999999994, 1.4951382 43.51370729999999, 1.4951398999999999 43.51369039999998));;residential;1;50.0;yes;;;;;;;
roads.51;MULTILINESTRING ((1.5011636 43.5129878, 1.5010719000000001 43.51305299999999, 1.5005321000000003 43.513285800000006));;tertiary;1;50.0;yes;;;;;;;
roads.52;MULTILINESTRING ((1.5005321000000003 43.513285800000006, 1.5005109000000003 43.51329319999999));;tertiary;1;50.0;yes;;;;;;;
roads.53;MULTILINESTRING ((1.5005109000000003 43.51329319999999, 1.5004162999999997 43.513323299999996, 1.5003272000000003 43.51331499999999));;tertiary;1;50.0;yes;;;;;;;
roads.54;MULTILINESTRING ((1.4943596 43.51968359999999, 1.4945696 43.51977489999999, 1.4947983999999999 43.5198735));;residential;1;50.0;;;;;;;;
roads.55;MULTILINESTRING ((1.4947983999999999 43.5198735, 1.4945696 43.51977489999999, 1.4943596 43.51968359999999));;residential;1;50.0;;;;;;;;
roads.56;MULTILINESTRING ((1.4947983999999999 43.5198735, 1.4955844 43.5202123));;residential;1;50.0;;;;;;;;
roads.57;MULTILINESTRING ((1.4955844 43.5202123, 1.4947983999999999 43.5198735));;residential;1;50.0;;;;;;;;
roads.58;MULTILINESTRING ((1.4955844 43.5202123, 1.4959508999999998 43.520370299999996));;residential;1;50.0;;;;;;;;
roads.59;MULTILINESTRING ((1.4959508999999998 43.520370299999996, 1.4955844 43.5202123));;residential;1;50.0;;;;;;;;
roads.60;MULTILINESTRING ((1.4959508999999998 43.520370299999996, 1.4960295 43.5204042));;residential;1;50.0;;;;;;;;
roads.61;MULTILINESTRING ((1.4960295 43.5204042, 1.4959508999999998 43.520370299999996));;residential;1;50.0;;;;;;;;
roads.62;MULTILINESTRING ((1.4971775 43.52079370000001, 1.4971858999999998 43.52077619999999, 1.4971961 43.520765900000015, 1.4972165 43.5207546, 1.4972354000000003 43.52074979999999, 1.497253 43.5207487));roundabout;tertiary;1;50.0;;;;;;;;
roads.63;MULTILINESTRING ((1.497253 43.5207487, 1.4972354000000003 43.52074979999999, 1.4972165 43.5207546, 1.4971961 43.520765900000015, 1.4971858999999998 43.52077619999999, 1.4971775 43.52079370000001));;tertiary;1;50.0;;;;;;;;
roads.64;MULTILINESTRING ((1.497253 43.5207487, 1.4972849000000001 43.52075499999999, 1.4973051 43.5207664, 1.4973176000000001 43.5207804, 1.4973237999999998 43.5208058));roundabout;tertiary;1;50.0;;;;;;;;
roads.65;MULTILINESTRING ((1.4973237999999998 43.5208058, 1.4973176000000001 43.5207804, 1.4973051 43.5207664, 1.4972849000000001 43.52075499999999, 1.497253 43.5207487));;tertiary;1;50.0;;;;;;;;
roads.66;MULTILINESTRING ((1.4973237999999998 43.5208058, 1.4975071999999998 43.52072019999997));;tertiary;1;50.0;;;;;;;;
roads.67;MULTILINESTRING ((1.4975071999999998 43.52072019999997, 1.4973237999999998 43.5208058));;tertiary;1;50.0;;;;;;;;
roads.68;MULTILINESTRING ((1.4975071999999998 43.52072019999997, 1.4975605000000003 43.520693599999994));;tertiary;1;50.0;;;;;;;;
roads.69;MULTILINESTRING ((1.4975605000000003 43.520693599999994, 1.4975071999999998 43.52072019999997));;tertiary;1;50.0;;;;;;;;
roads.70;MULTILINESTRING ((1.4975605000000003 43.520693599999994, 1.4978781 43.52041350000001, 1.4982881999999997 43.51999069999998));;tertiary;1;50.0;;;;;;;;
roads.71;MULTILINESTRING ((1.4982881999999997 43.51999069999998, 1.4978781 43.52041350000001, 1.4975605000000003 43.520693599999994));;tertiary;1;50.0;;;;;;;;
roads.72;MULTILINESTRING ((1.4982881999999997 43.51999069999998, 1.4984274 43.51984719999998, 1.4984657 43.51981669999999));;tertiary;1;50.0;;;;;;;;
roads.73;MULTILINESTRING ((1.4984657 43.51981669999999, 1.4984274 43.51984719999998, 1.4982881999999997 43.51999069999998));;tertiary;1;50.0;;;;;;;;
roads.74;MULTILINESTRING ((1.4984657 43.51981669999999, 1.4986036000000003 43.51972139999998));;tertiary;1;50.0;;;;;;;;
roads.75;MULTILINESTRING ((1.4986036000000003 43.51972139999998, 1.4984657 43.51981669999999));;tertiary;1;50.0;;;;;;;;
roads.76;MULTILINESTRING ((1.4986036000000003 43.51972139999998, 1.498651 43.519684799999986));;tertiary;1;50.0;;;;;;;;
roads.77;MULTILINESTRING ((1.498651 43.519684799999986, 1.4986036000000003 43.51972139999998));;tertiary;1;50.0;;;;;;;;
roads.78;MULTILINESTRING ((1.4986036000000003 43.51972139999998, 1.4988656000000002 43.51979310000001, 1.4997589 43.52008480000001));;residential;1;50.0;;;;;;;;
roads.79;MULTILINESTRING ((1.4997589 43.52008480000001, 1.4988656000000002 43.51979310000001, 1.4986036000000003 43.51972139999998));;residential;1;50.0;;;;;;;;
roads.80;MULTILINESTRING ((1.4997589 43.52008480000001, 1.5000944 43.52019179999998, 1.5005893999999997 43.52034509999999, 1.5009276 43.520424899999995));;residential;1;50.0;;;;;;;;
roads.81;MULTILINESTRING ((1.5009276 43.520424899999995, 1.5005893999999997 43.52034509999999, 1.5000944 43.52019179999998, 1.4997589 43.52008480000001));;residential;1;50.0;;;;;;;;
roads.82;MULTILINESTRING ((1.5009276 43.520424899999995, 1.5009984999999997 43.52044909999999));;residential;1;50.0;;;;;;;;
roads.83;MULTILINESTRING ((1.5009984999999997 43.52044909999999, 1.5009276 43.520424899999995));;residential;1;50.0;;;;;;;;
roads.84;MULTILINESTRING ((1.5009984999999997 43.52044909999999, 1.5016783 43.520631300000005));;residential;1;50.0;;;;;;;;
roads.85;MULTILINESTRING ((1.5016783 43.520631300000005, 1.5009984999999997 43.52044909999999));;residential;1;50.0;;;;;;;;
roads.86;MULTILINESTRING ((1.5016783 43.520631300000005, 1.5022761 43.520846299999995));;residential;1;50.0;;;;;;;;
roads.87;MULTILINESTRING ((1.5022761 43.520846299999995, 1.5016783 43.520631300000005));;residential;1;50.0;;;;;;;;
roads.88;MULTILINESTRING ((1.5022761 43.520846299999995, 1.5032992 43.521297));;residential;1;50.0;;;;;;;;
roads.89;MULTILINESTRING ((1.5032992 43.521297, 1.5022761 43.520846299999995));;residential;1;50.0;;;;;;;;
roads.90;MULTILINESTRING ((1.5032992 43.521297, 1.5033567000000003 43.521322000000005));;residential;1;50.0;;;;;;;;
