stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
3377699720881157,6520,Salinié,43.593477,1.380475,0,1970324837184883,2
3377699720881163,2200,Ecole Police et Cadastre,43.595283,1.382432,0,1970324837184886,1
3377699720881164,2201,Ecole Police et Cadastre,43.595281,1.382300,0,1970324837184886,2
3377699720881167,15330,St-Exupéry,43.588595,1.359250,0,1970324837184889,1
3377699720881168,15331,St-Exupéry,43.588591,1.359881,0,1970324837184889,2
3377699720881171,40100,Esquirol,43.600441,1.444080,0,1970324837184892,1
3377699720881172,40101,Esquirol,43.600451,1.443957,0,1970324837184892,1
3377699720881173,2431,Esquirol,43.600437,1.443895,0,1970324837184892,1
3377699720881174,2430,Esquirol,43.600370,1.444490,0,1970324837184892,1
3377699720881180,11281,Ecole Récébédou,43.538882,1.408556,0,1970324837184893,2
3377699720881181,11280,Ecole Récébédou,43.538703,1.408210,0,1970324837184893,1
3377699720881185,2350,Eisenhower Est,43.558378,1.401171,0,1970324837184895,1
3377699720881186,2351,Eisenhower Est,43.558131,1.401657,0,1970324837184895,1
3377699720881187,5440,Place Bouillière,43.565973,1.394891,0,1970324837184896,1
3377699720881188,5442,Place Bouillière,43.566793,1.393760,0,1970324837184896,2
3377699720881189,5441,Place Bouillière,43.565684,1.394486,0,1970324837184896,1
3377699720881190,5443,Place Bouillière,43.567658,1.392989,0,1970324837184896,1
3377699720881191,5592,Pont Neuf,43.599305,1.440439,0,1970324837184897,1
3377699720881193,5591,Pont Neuf,43.599896,1.441517,0,1970324837184897,1
3377699720881194,5590,Pont Neuf,43.599676,1.441013,0,1970324837184897,1
3377699720881199,4312,Cité Scolaire Rive Gauche,43.584245,1.399698,0,1970324837184900,1
3377699720881200,4310|4314,Cité Scolaire Rive Gauche,43.584407,1.400024,0,1970324837184900,1
3377699720881201,4313,Cité Scolaire Rive Gauche,43.584376,1.400208,0,1970324837184900,1
3377699720881204,4770,Mesplé,43.570251,1.386625,0,1970324837184901,1
3377699720881205,4771,Mesplé,43.570349,1.386524,0,1970324837184901,1
3377699720881208,16941,Ctre Cial Beauzelle,43.670009,1.369324,0,1970324837184902,1
3377699720881212,4111,Le Lac Reynerie,43.567418,1.404854,0,1970324837184905,1
3377699720881213,4110,Le Lac Reynerie,43.567586,1.403294,0,1970324837184905,1
3377699720881214,1481,Cité du Parc,43.568562,1.408021,0,1970324837184906,1
3377699720881215,1480,Cité du Parc,43.568397,1.407710,0,1970324837184906,1
3377699720881216,3810,Kiev,43.570443,1.408456,0,1970324837184907,1
3377699720881217,3811,Kiev,43.570621,1.408785,0,1970324837184907,1
3377699720881218,1500,Babinet,43.572380,1.407314,0,1970324837184908,1
3377699720881219,1501,Babinet,43.572631,1.407331,0,1970324837184908,1
3377699720881223,21,Achiary,43.600950,1.474186,0,1970324837184910,1
3377699720881224,20,Achiary,43.600862,1.474131,0,1970324837184910,1
3377699720881228,8010,Rixens,43.627179,1.453087,0,1970324837184913,1
3377699720881229,8011,Rixens,43.626714,1.453619,0,1970324837184913,1
3377699720881231,221,Arsenal,43.605623,1.433664,0,1970324837184915,1
3377699720881232,5631,Ponts Jumeaux,43.609812,1.420242,0,1970324837184916,1
3377699720881233,5630,Ponts Jumeaux,43.610308,1.420497,0,1970324837184916,1
3377699720881234,6570,Atlanta,43.642499,1.467633,0,1970324837184917,1
3377699720881235,6571,Atlanta,43.643290,1.467835,0,1970324837184917,1
3377699720881236,10181,"L'Union Grande Halle",43.655696,1.481347,0,1970324837184918,1
3377699720881237,10180,"L'Union Grande Halle",43.655588,1.481287,0,1970324837184918,2
3377699720881238,10190,Montcalm,43.653513,1.484480,0,1970324837184919,1
3377699720881239,10192,Montcalm,43.653356,1.484741,0,1970324837184919,1
3377699720881241,10111,Bayonne,43.649180,1.471261,0,1970324837184920,1
3377699720881242,10110,Bayonne,43.650177,1.472294,0,1970324837184920,1
3377699720881244,1901,Caunes,43.640507,1.469318,0,1970324837184921,1
3377699720881245,1900,Caunes,43.640323,1.469650,0,1970324837184921,1
3377699720881246,5161,Ohnet,43.638375,1.471544,0,1970324837184922,1
3377699720881247,5160,Ohnet,43.638923,1.470993,0,1970324837184922,1
3377699720881248,7250,Vasseur,43.636324,1.472787,0,1970324837184923,1
3377699720881249,7251,Vasseur,43.635119,1.473160,0,1970324837184923,1
3377699720881250,1800,Cambard,43.629383,1.476462,0,1970324837184924,1
3377699720881251,1801,Cambard,43.629314,1.476291,0,1970324837184924,1
3377699720881260,10501,"L'Union Malbou",43.661548,1.483699,0,1970324837184929,1
3377699720881264,3706,"Jeanne d'Arc",43.609293,1.446416,0,1970324837184932,2
3377699720881265,3702,"Jeanne d'Arc",43.608834,1.446325,0,1970324837184932,1
3377699720881267,3705,"Jeanne d'Arc",43.609049,1.446284,0,1970324837184932,2
3377699720881268,3709,"Jeanne d'Arc",43.609214,1.445139,0,1970324837184932,1
3377699720881269,3704,"Jeanne d'Arc",43.609402,1.446464,0,1970324837184932,2
3377699720881270,3707,"Jeanne d'Arc",43.609599,1.446375,0,1970324837184932,1
3377699720881271,3701,"Jeanne d'Arc",43.609131,1.446308,0,1970324837184932,2
3377699720881272,3703,"Jeanne d'Arc",43.609194,1.446344,0,1970324837184932,2
3377699720881273,3708,"Jeanne d'Arc",43.608988,1.445218,0,1970324837184932,1
3377699720881281,6941,Théodore de Banville,43.640358,1.466070,0,1970324837184934,1
3377699720881282,6940,Théodore de Banville,43.640945,1.466592,0,1970324837184934,1
3377699720881283,19481,"St-Jean Clinique de L'Union",43.650744,1.509737,0,1970324837184935,1
3377699720881284,10601,St-Jean Lestang,43.670781,1.500352,0,1970324837184936,1
3377699720881289,10840,St-Geniès,43.684336,1.486282,0,1970324837184940,1
3377699720881290,10841,St-Geniès,43.683082,1.485357,0,1970324837184940,1
3377699720881291,10951,Lapeyrouse,43.695013,1.516208,0,1970324837184941,1
3377699720881298,3183,Grand Rond,43.596412,1.454112,0,1970324837184947,1
3377699720881299,3180,Grand Rond,43.594487,1.452378,0,1970324837184947,1
3377699720881301,3181,Grand Rond,43.595474,1.454063,0,1970324837184947,1
3377699720881304,3821,Conseil Régional,43.589156,1.440530,0,1970324837184950,1
3377699720881305,3820,Conseil Régional,43.588090,1.439576,0,1970324837184950,1
3377699720881319,1581,Colombette,43.605822,1.456316,0,1970324837184954,1
3377699720881320,1580,Colombette,43.606010,1.456658,0,1970324837184954,2
3377699720881321,3231,Guilhemery,43.601862,1.456452,0,1970324837184955,1
3377699720881323,3230,Guilhemery,43.603566,1.457146,0,1970324837184955,1
3377699720881324,5570,Pont Matabiau,43.613543,1.450240,0,1970324837184956,1
3377699720881327,5574,Pont Matabiau,43.613812,1.451371,0,1970324837184956,1
3377699720881328,5573,Pont Matabiau,43.614242,1.449688,0,1970324837184956,1
3377699720881329,5571,Pont Matabiau,43.613499,1.449969,0,1970324837184956,1
3377699720881330,380,Amat Massot,43.625582,1.439378,0,1970324837184957,2
3377699720881331,1471,Trois Cocus,43.638945,1.444237,0,1970324837184958,1
3377699720881332,1470,Trois Cocus,43.637873,1.444230,0,1970324837184958,1
3377699720881334,3191,Les Sables,43.654181,1.445404,0,1970324837184959,2
3377699720881335,3190,Les Sables,43.655883,1.446353,0,1970324837184959,2
3377699720881349,19041,Lumière,43.659426,1.451427,0,1970324837184970,1
3377699720881350,19040,Lumière,43.659510,1.451041,0,1970324837184970,1
3377699720881352,7130,Van Dyck,43.640011,1.439303,0,1970324837184971,2
3377699720881353,7131,Van Dyck,43.640684,1.440357,0,1970324837184971,1
3377699720881356,2312,Eglise Minimes,43.618737,1.436958,0,1970324837184974,2
3377699720881357,2310,Eglise Minimes,43.618140,1.436529,0,1970324837184974,1
3377699720881358,2311,Eglise Minimes,43.618136,1.436658,0,1970324837184974,1
3377699720881359,14441,Mairie Launaguet,43.673933,1.455716,0,1970324837184975,2
3377699720881360,14440,Mairie Launaguet,43.673935,1.455940,0,1970324837184975,1
3377699720881361,14551,Pechbonnieu Mairie,43.703280,1.466944,0,1970324837184976,1
3377699720881362,14552,Pechbonnieu Mairie,43.703113,1.466940,0,1970324837184976,1
3377699720881364,14641,St-Loup,43.696528,1.479393,0,1970324840530367,1
3377699720881367,14601,Montberon,43.718101,1.481823,0,1970324837184978,1
3377699720881369,30461,Lycée Toulouse-Lautrec,43.626761,1.443533,0,1970324837186162,1
3377699720881370,3970,Collège Rosa Parks,43.643612,1.433520,0,1970324839976622,2
3377699720881371,3971,Collège Rosa Parks,43.643549,1.433396,0,1970324839976622,1
3377699720881372,4010,Lapin,43.652493,1.432559,0,1970324837184981,1
3377699720881373,4011,Lapin,43.651245,1.432573,0,1970324837184981,1
3377699720881374,13840,Mairie Aucamville,43.668641,1.428924,0,1970324837184982,1
3377699720881375,13841,Mairie Aucamville,43.667587,1.429298,0,1970324837184982,1
3377699720881377,14000,Mairie Castelginest,43.693162,1.429551,0,1970324837184983,1
3377699720881378,14001,Mairie Castelginest,43.693178,1.429316,0,1970324837184983,1
3377699720881380,14251,Gratentour Gravette,43.715350,1.420260,0,1970324837184984,1
3377699720881381,14071,Castelginest Buffebiau,43.685457,1.446150,0,1970324837184985,1
3377699720881382,13950,Mairie St-Alban,43.692773,1.414193,0,1970324837184986,2
3377699720881383,13952,Mairie St-Alban,43.693095,1.412994,0,1970324837184986,2
3377699720881384,13951,Mairie St-Alban,43.692735,1.413807,0,1970324837184986,2
3377699720881385,13953,Mairie St-Alban,43.693612,1.412434,0,1970324837184986,1
3377699720881386,13281,Bruguières,43.721832,1.411285,0,1970324837184987,1
3377699720881387,13501,Fenouillet Croix,43.684876,1.381630,0,1970324837184988,1
3377699720881388,13500,Fenouillet Croix,43.684132,1.382253,0,1970324837184988,1
3377699720881389,13541,République,43.697882,1.374387,0,1970324837184989,2
3377699720881390,13540,République,43.697777,1.374267,0,1970324837184989,2
3377699720881391,13661,Lespinasse Viguerie,43.714031,1.391555,0,1970324837184990,2
3377699720881402,1723,Cours Dillon,43.598607,1.436713,0,1970324837184995,1
3377699720881404,1728,Cours Dillon,43.598853,1.437557,0,1970324837184995,1
3377699720881407,1722,Cours Dillon,43.598859,1.436011,0,1970324837184995,1
3377699720881415,3733,Jolimont,43.615467,1.464184,0,1970324837185002,1
3377699720881419,40141,Jolimont,43.615393,1.463180,0,1970324837185002,1
3377699720881420,40140,Jolimont,43.615327,1.463265,0,1970324837185002,1
3377699720881425,40061,Fontaine Lestang,43.587572,1.418223,0,1970324837185007,1
3377699720881426,40060,Fontaine Lestang,43.587536,1.418336,0,1970324837185007,1
3377699720881427,2831,Fontaine Lestang,43.587785,1.418570,0,1970324837185007,2
3377699720881433,40051,Mermoz,43.583488,1.415449,0,1970324837185008,1
3377699720881434,40050,Mermoz,43.583444,1.415558,0,1970324837185008,1
3377699720881435,4661,Mirail-Université,43.574480,1.401994,0,1970324837185009,1
3377699720881436,4660,Mirail-Université,43.574296,1.401687,0,1970324837185009,1
3377699720881438,40031,Mirail-Université,43.574713,1.402073,0,1970324837185009,1
3377699720881439,40030,Mirail-Université,43.574711,1.402197,0,1970324837185009,1
3377699720881440,40020,Reynerie,43.570241,1.401997,0,1970324837185010,1
3377699720881441,40021,Reynerie,43.570245,1.401873,0,1970324837185010,1
3377699720881443,570,Bellefontaine,43.565749,1.399058,0,1970324837185011,2
3377699720881444,571,Bellefontaine,43.565690,1.399576,0,1970324837185011,2
3377699720881445,40011,Bellefontaine,43.566379,1.398898,0,1970324837185011,1
3377699720881446,40010,Bellefontaine,43.566296,1.398944,0,1970324837185011,1
3377699720881450,5930,Université Paul Sabatier,43.560562,1.463342,0,1970324837185012,1
3377699720881451,5931,Université Paul Sabatier,43.561256,1.462779,0,1970324837185012,1
3377699720881452,5933,Université Paul Sabatier,43.560468,1.463489,0,1970324837185012,1
3377699720881456,11463,Portet H. Boucher,43.514555,1.387696,0,1970324837185015,1
3377699720881460,13561,Espace Garonne,43.699341,1.371711,0,1970324837185016,1
3377699720881461,13560,Espace Garonne,43.699138,1.372136,0,1970324837185016,1
3377699720881463,1012,Carmes,43.598231,1.445575,0,1970324837185017,1
3377699720881464,1011,Carmes,43.598411,1.445671,0,1970324837185017,1
3377699720881465,22420,Mairie La Salvetat,43.577953,1.272576,0,1970324837185018,1
3377699720881488,3412,Héraclès,43.607664,1.427795,0,1970324837185029,1
3377699720881489,3410,Héraclès,43.608672,1.429480,0,1970324837185029,1
3377699720881490,3411,Héraclès,43.608621,1.429010,0,1970324837185029,1
3377699720881506,210,A. Bernard,43.611444,1.439400,0,1970324837185045,1
3377699720881507,215,A. Bernard,43.611446,1.438067,0,1970324837185045,1
3377699720881508,211,A. Bernard,43.611654,1.439067,0,1970324837185045,1
3377699720881510,511,Barrière de Paris,43.626871,1.434366,0,1970324837185046,1
3377699720881511,510,Barrière de Paris,43.626111,1.433912,0,1970324837185046,1
3377699720881512,513,Barrière de Paris,43.626122,1.434036,0,1970324837185046,1
3377699720881513,13391,Fenouillet Ctre Cial,43.687276,1.404033,0,1970324837185047,1
3377699720881514,13390,Fenouillet Ctre Cial,43.687199,1.403740,0,1970324837185047,1
3377699720881531,15701,Plaisance Accueil,43.564761,1.297369,0,1970324837185060,1
3377699720881532,15700,Plaisance Accueil,43.564847,1.297324,0,1970324837185060,1
3377699720881533,15731,Plaisance Monestié,43.562858,1.290744,0,1970324837185061,1
3377699720881538,22491,Taure,43.583368,1.278268,0,1970324837185065,1
3377699720881545,19930,Stade,43.615289,1.276070,0,1970324837185071,1
3377699720881546,19920,Basilique,43.617762,1.283339,0,1970324837185072,1
3377699720881548,19900,Lycée International,43.612905,1.308227,0,1970324837185074,1
3377699720881549,16140,Bascule - Seycheron,43.608738,1.340671,0,1970329131942324,1
3377699720881550,16141,Bascule - Seycheron,43.608682,1.340822,0,1970329131942324,1
3377699720881554,13133,Niel,43.461605,1.324459,0,1970324837185077,2
3377699720881555,13151,Muret Lycée,43.454136,1.330174,0,1970324837185078,1
3377699720881565,11510,Pyrénées,43.513083,1.387464,0,1970329131942136,1
3377699720881566,11620,Mairie Pinsaguel,43.506420,1.390958,0,1970329131942061,1
3377699720881567,11621,Mairie Pinsaguel,43.506223,1.391097,0,1970329131942061,2
3377699720881576,18921,Eglise Escalquens,43.517495,1.561061,0,1970324837185091,2
3377699720881577,18920,Eglise Escalquens,43.517924,1.561613,0,1970324837185091,1
